"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65"
"consent_received.wash.visible_faeces",1,1,2,3,3,3,3,1,2,2,2,2,2,2,2,3,2,3,3,2,3,3,3,2,2,2,2,2,3,3,2,3,2,2,3,3,2,3,3,2,3,3,1,1,3,3,2,3,3,1,2,2,3,2,2,3,1,2,2,2,1,2,2,2,2
"consent_received.wash.visible_waste",2,2,2,3,3,3,2,1,2,3,2,2,2,3,2,3,2,3,3,3,3,3,3,2,2,1,2,3,2,2,2,2,3,2,2,3,3,2,3,2,3,3,1,1,3,3,2,2,3,1,2,2,2,2,2,3,1,2,2,2,1,2,3,2,2
"consent_received.shelter_nfi.hh_roof_material",2,2,1,4,5,3,5,5,5,4,5,3,3,2,4,4,3,3,3,2,2,4,6,5,2,2,4,2,4,5,4,2,7,4,3,5,5,7,4,3,8,3,1,1,5,2,3,3,5,1,5,5,3,2,2,5,1,2,3,2,1,3,6,4,2
"consent_received.shelter_nfi.hh_roof_material.tin",2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,0,2,1,1,2,2,1,2,2,2,1,1,2,0,1,2,1,1,1,2,2,1
"consent_received.shelter_nfi.hh_roof_material.tarpaulin",1,2,1,2,2,1,2,2,2,2,2,1,2,1,1,1,1,1,2,1,1,1,2,2,1,1,2,1,2,2,1,1,2,2,1,1,1,2,1,1,2,1,1,0,2,1,1,1,2,1,2,2,2,1,1,2,0,1,1,1,1,1,2,2,1
"consent_received.shelter_nfi.hh_roof_material.hay",2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1,2,2,1,2,2,1,2,2,2,1,2,1,2,2,1,1,1,1,2,1,1,0,1,1,1,1,2,1,2,2,1,1,1,2,0,1,2,1,1,1,2,2,1
"consent_received.shelter_nfi.hh_roof_material.brick_cemen",1,2,1,2,2,2,1,1,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,1,0,1,1,2,2,2,1,2,1,1,1,1,1,0,1,1,1,1,2,2,1,1
"consent_received.shelter_nfi.hh_roof_material.bamboo",1,1,1,2,2,1,2,2,2,1,2,1,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,1,2,1,1,0,2,1,2,1,1,1,2,2,1,1,1,2,0,1,1,1,1,1,2,2,1
"consent_received.shelter_nfi.hh_roof_material.wood",1,1,1,2,2,2,2,2,2,1,1,1,2,1,2,2,1,2,1,1,1,2,2,1,1,1,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,1,1,0,2,1,2,1,2,1,2,1,1,1,1,2,0,1,1,1,1,1,2,2,1
"consent_received.shelter_nfi.hh_roof_material.other",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"consent_received.shelter_nfi.hh_roof_material_other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"consent_received.shelter_nfi.hh_wall_material",2,2,2,5,5,4,4,3,3,5,6,6,4,5,5,7,3,5,4,3,3,3,7,5,2,2,4,6,5,3,6,3,3,5,5,5,5,6,6,4,6,3,2,1,3,2,3,3,6,2,4,5,5,2,2,6,1,3,4,4,1,3,5,7,2
"consent_received.shelter_nfi.hh_wall_material.bricks",1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,0,1,1,2,2,2,1,2,1,2,1,1,2,0,1,2,2,1,2,2,2,1
"consent_received.shelter_nfi.hh_wall_material.clay",2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,1,2,2,2,1,2,2,2,1,1,2,0,2,2,2,1,2,2,2,1
"consent_received.shelter_nfi.hh_wall_material.bamboo",2,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,1,2,2,2,1,2,2,1,2,1,1,0,2,1,1,1,1,2,2,2,2,1,1,2,0,2,2,1,1,1,2,2,1
"consent_received.shelter_nfi.hh_wall_material.cement",1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,1,1,2,2,2,1,2,2,2,1,1,2,0,1,2,2,1,2,2,2,1
"consent_received.shelter_nfi.hh_wall_material.tarpaulin",1,1,1,2,2,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,2,1,1,1,1,0,1,1,1,1,1,1,1,1
"consent_received.shelter_nfi.hh_wall_material.wood",2,1,1,1,1,2,2,1,2,1,1,1,2,2,1,2,1,1,1,1,2,1,2,1,1,1,2,2,1,1,2,2,1,2,2,1,2,1,2,2,2,1,1,0,1,1,1,1,2,1,1,1,1,1,1,2,0,1,2,2,1,1,1,2,1
"consent_received.shelter_nfi.hh_wall_material.tin",1,1,1,2,1,1,2,1,1,2,2,2,2,2,1,2,1,2,2,1,2,1,2,1,1,2,1,1,2,1,2,1,1,2,2,1,2,2,2,1,2,1,1,0,2,1,1,1,2,2,1,1,1,1,1,1,0,1,1,2,1,1,2,2,1
"consent_received.shelter_nfi.hh_wall_material.other",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"consent_received.shelter_nfi.hh_wall_material_other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"consent_received.shelter_nfi.hh_floor_material",2,2,2,3,4,3,4,2,3,3,4,4,3,3,3,3,3,4,4,2,4,3,3,3,2,2,3,4,3,2,3,3,3,3,3,4,8,6,3,3,6,3,2,1,2,2,3,3,3,2,2,3,3,2,2,4,1,3,3,3,1,3,5,4,2
"consent_received.shelter_nfi.hh_floor_material.bricks",1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,1,2,2,1,2,2,2,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,0,1,1,2,2,2,1,2,1,1,1,1,2,0,2,1,2,1,2,2,2,1
"consent_received.shelter_nfi.hh_floor_material.cement",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,2,2,2,1,2,2,2,1,1,2,0,2,2,2,1,2,2,2,1
"consent_received.shelter_nfi.hh_floor_material.wood",1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"consent_received.shelter_nfi.hh_floor_material.dirt",1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,2,2,2,1,2,2,2,1,1,2,0,2,2,2,1,2,2,2,1
"consent_received.shelter_nfi.hh_floor_material.other",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"consent_received.shelter_nfi.hh_floor_material_other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"consent_received.shelter_nfi.solar_light",1,1,2,3,2,3,2,2,3,3,3,3,2,3,2,2,3,3,3,3,3,3,3,2,2,1,2,3,3,3,3,3,2,3,2,3,3,2,3,3,3,2,1,1,3,3,3,3,3,2,1,3,3,2,2,3,1,3,3,2,1,2,3,3,2
"consent_received.shelter_nfi.electricity_grid",1,1,2,3,2,3,3,2,3,2,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,1,1,3,2,3,3,3,2,2,2,3,2,2,3,1,2,3,3,1,2,3,3,2
"consent_received.shelter_nfi.hh_electricity_access",2,2,2,2,2,2,3,2,2,1,3,2,2,3,2,3,2,3,2,2,3,3,2,2,2,3,2,2,2,3,2,2,3,3,2,3,2,2,3,3,2,3,1,1,2,1,2,2,3,2,2,2,3,2,2,2,1,1,2,2,1,2,3,2,1
"consent_received.shelter_nfi.hh_cyclone_training",1,1,2,3,2,3,2,2,3,2,2,2,3,2,2,3,2,2,2,2,3,2,3,2,2,1,1,2,2,2,2,2,2,3,2,3,2,3,2,2,2,2,1,1,2,3,3,2,2,1,2,3,2,2,2,2,1,2,2,2,1,2,2,3,2
"consent_received.shelter_nfi.hh_flood_training",1,1,2,3,2,2,2,2,3,2,2,2,3,2,2,3,2,3,2,2,3,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3,2,3,2,2,2,2,1,1,2,3,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,3,2
"consent_received.shelter_nfi.non_food_items",2,2,2,6,6,5,6,8,4,5,8,8,5,8,7,10,4,7,7,3,6,5,6,8,2,4,8,6,7,8,6,4,7,5,8,7,8,10,6,6,9,6,2,1,5,6,3,5,9,2,7,6,6,2,2,8,1,3,5,4,1,3,8,10,2
"consent_received.shelter_nfi.non_food_items.solar_lamp",2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,0,2,2,2,2,2,2,1,2,2,1,1,2,0,2,2,1,1,2,2,2,1
"consent_received.shelter_nfi.non_food_items.portable_torch",1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,2,2,1,1,1,2,2,1,1,2,1,1,1,1,2,1,2,1,2,1,2,1,0,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1
"consent_received.shelter_nfi.non_food_items.kitchen_set",1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,1,2,2,2,1,1,2,0,1,2,1,1,2,2,2,1
"consent_received.shelter_nfi.non_food_items.floor_mat",1,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,2,2,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1
"consent_received.shelter_nfi.non_food_items.cooking_stove",2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,0,2,2,1,1,2,2,2,2,2,1,1,2,0,1,2,2,1,1,2,2,1
"consent_received.shelter_nfi.non_food_items.blanket",1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,1,1,0,2,2,1,2,2,2,2,1,2,1,1,2,0,2,2,2,1,1,2,2,1
"consent_received.shelter_nfi.non_food_items.mosquito_net",1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,2,1,1,1,0,2,2,1,1,1,2,1,2,2,1,1,1,0,1,1,2,1,1,1,1,1
"consent_received.shelter_nfi.non_food_items.children_clothes",1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,2,1,1,0,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,2,1,1
"consent_received.shelter_nfi.non_food_items.male_clothes",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1
"consent_received.shelter_nfi.non_food_items.female_clothes",2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,0,2,1,1,1,1,1,2,1,1,1,1,1,0,2,1,1,1,1,2,1,1
"consent_received.shelter_nfi.non_food_items.radio",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"consent_received.shelter_nfi.non_food_items.umbrella",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"consent_received.shelter_nfi.non_food_items.fuel",1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,2,1,1,1,2,1,2,2,1,2,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,2,1,0,2,1,1,1,2,1,2,2,2,1,1,1,0,1,2,1,1,1,1,2,1
"consent_received.shelter_nfi.non_food_items.other",1,2,1,2,1,2,1,2,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,2,2,0,1,1,1,1,1,1,2,1,1,1,1,1,0,1,2,1,1,1,2,1,1
"consent_received.shelter_nfi.non_food_items.latrine_bathroom",1,2,2,2,2,2,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,0,1,1,1,1,2,1,2,1,1,1,1,2,0,2,1,1,1,1,2,1,1
"consent_received.shelter_nfi.non_food_items.tubewell",1,1,2,2,1,2,1,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,0,1,1,1,1,2,1,1,1,1,1,1,2,0,2,1,2,1,1,2,1,1
"consent_received.shelter_nfi.non_food_items_other",1,2,1,4,1,2,1,3,1,1,7,1,3,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,6,1,1,1,1,2,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,4,1,1
"consent_received.shelter_nfi.cooking_fuel",1,2,2,2,3,3,3,3,3,2,3,3,2,3,3,3,2,3,3,2,3,3,2,3,2,1,2,3,3,3,3,2,3,3,3,3,4,3,3,3,3,3,2,1,2,2,2,3,3,2,2,2,3,2,2,3,1,2,2,2,1,2,2,2,2
"consent_received.shelter_nfi.cooking_fuel_other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"consent_received.shelter_nfi.house_land_ownership",1,1,2,3,2,2,2,2,3,3,3,2,2,2,3,3,2,3,3,2,2,3,3,2,2,1,2,3,3,2,2,2,3,3,2,3,2,2,2,2,4,2,1,1,2,2,2,3,2,1,2,2,2,2,2,2,1,2,3,2,1,2,2,2,2
"consent_received.shelter_nfi.house_land_ownership_other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"consent_received.shelter_nfi.land_house_deed",1,1,2,3,3,3,2,3,3,3,3,2,3,3,3,3,3,2,2,2,3,2,2,3,2,2,2,2,3,2,2,3,3,2,3,2,3,2,3,3,2,3,2,1,2,3,2,3,3,2,4,3,3,2,2,3,1,2,3,3,1,3,2,3,1
"consent_received.shelter_nfi.rent_hosted",1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,1,1,1,2,1,1,2,1,1,1,1,3,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2
"consent_received.shelter_nfi.hh_agreement",1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,2
"consent_received.shelter_nfi.eviction",1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,1,1,1,2,1,1,3,1,1,1,1,3,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2
"consent_received.ppi.hh_rooms",1,2,2,3,3,4,4,3,2,4,3,3,4,4,4,3,3,3,3,3,4,3,3,3,2,2,2,3,4,4,4,3,4,4,3,3,3,4,2,3,4,3,2,1,4,3,2,3,3,1,2,2,3,2,2,4,1,2,3,2,1,2,4,4,2
"consent_received.ppi.hh_television",1,2,1,3,3,3,3,1,2,3,3,3,3,3,3,3,2,3,2,2,2,2,2,3,2,2,2,2,3,3,3,2,3,3,2,3,2,3,3,3,3,3,1,1,2,2,3,3,2,1,2,2,2,2,2,3,1,2,2,2,1,3,2,3,2
"consent_received.ppi.hh_fans",1,1,2,4,3,4,3,2,3,3,4,4,3,4,3,4,3,4,4,2,3,4,4,4,2,3,2,4,4,3,4,3,3,4,4,4,4,4,3,4,4,3,2,1,3,3,2,4,3,2,2,3,4,2,2,3,1,2,3,2,1,3,4,4,2
"consent_received.ppi.hh_phones",2,2,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,2,2,4,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,2,1,2,4,2,3,4,2,2,3,3,2,2,4,1,3,3,3,1,2,4,4,2
"consent_received.ppi.hh_vehicle",1,1,1,2,2,3,2,1,2,3,2,3,2,3,3,3,2,3,3,2,2,2,2,2,2,1,2,2,3,2,2,2,3,2,2,2,2,2,3,2,3,2,1,1,2,2,3,2,3,2,2,2,2,2,2,3,1,2,3,2,1,2,3,3,2
"consent_received.ppi.hh_agri_land",1,1,1,3,3,3,2,1,2,2,3,3,3,2,2,2,3,3,3,2,3,2,3,2,2,2,2,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,2,1,2,2,2,2,2,1,1,3,2,2,2,3,1,2,3,3,1,2,3,3,2
"consent_received.food_security.food_crisis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"consent_received.food_security.less_preferred_expensive",2,2,2,4,4,4,2,4,4,3,3,2,3,5,5,5,2,5,3,1,3,4,4,4,1,3,5,4,4,5,5,3,5,3,4,4,4,4,3,3,4,3,1,0,4,2,1,4,2,2,3,2,2,1,1,4,0,2,3,2,1,2,5,4,1
"consent_received.food_security.borrowed_food",2,2,1,4,2,4,1,5,4,2,4,1,3,4,4,1,1,3,2,1,3,1,1,3,1,3,4,2,4,3,1,1,5,4,2,3,3,3,1,2,5,3,2,0,3,4,1,2,4,2,3,3,3,1,1,5,0,2,1,2,1,2,4,2,1
"consent_received.food_security.limit_portion_size",2,1,1,3,2,2,1,4,3,4,1,2,1,4,4,3,1,2,1,1,1,1,2,1,1,2,2,4,3,2,1,1,2,2,1,3,3,1,1,2,4,4,2,0,3,1,1,1,3,2,2,3,2,1,1,3,0,1,1,3,1,2,3,1,1
"consent_received.food_security.restrict_consumption",1,2,1,2,3,2,2,2,1,4,1,1,1,2,3,2,1,2,2,1,1,1,1,1,1,1,1,4,1,2,1,1,5,4,2,4,1,1,1,2,3,2,1,0,2,1,1,3,3,1,2,2,1,1,1,4,0,2,1,2,1,2,4,1,1
"consent_received.food_security.reduce_meal_numbers",2,2,1,2,2,1,2,2,2,3,1,3,1,3,4,3,1,2,2,1,1,1,3,2,1,2,2,2,1,2,1,2,5,3,3,3,1,1,1,2,3,3,2,0,2,1,1,3,4,1,4,2,2,1,1,2,0,2,1,3,1,2,3,1,1
"consent_received.food_security.eat_elsewhere",1,1,1,1,1,3,1,1,3,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,5,3,1,2,1,1,2,1,2,1,1,0,2,2,1,3,4,1,2,1,1,1,1,3,0,1,1,1,1,2,3,1,1
"consent_received.food_security.women_eat_less",2,1,1,2,3,2,1,2,1,3,2,1,1,2,2,3,1,2,1,1,1,1,1,1,1,1,2,3,1,1,1,1,3,4,2,3,1,1,1,2,3,1,1,0,2,2,1,3,3,1,3,2,1,1,1,3,0,2,1,2,1,2,4,1,1
"consent_received.food_security.men_eat_less",1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,3,1,1,1,1,4,1,1,0,1,1,1,2,4,1,3,1,1,1,1,3,0,2,1,1,1,2,3,1,1
"consent_received.food_security.nofood_wholeday",1,2,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,0,2,1,1,2,2,1,2,1,2,1,1,1,0,1,1,1,1,2,2,1,1
"consent_received.food_security.food_list",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"consent_received.food_security.cereals_tubers",1,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,0,2,1,2,3,6,2,4,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"consent_received.food_security.pulses_nuts_seeds",2,2,2,4,4,5,1,4,3,3,4,2,3,4,3,3,3,4,4,1,3,3,3,4,1,4,4,4,4,5,5,2,3,4,3,5,4,5,4,3,4,3,2,0,2,3,2,2,7,2,5,2,3,1,1,3,0,2,4,3,1,1,5,4,1
"consent_received.food_security.vegetables",1,2,2,3,2,4,3,5,4,4,6,1,2,4,5,4,1,4,1,2,2,2,3,4,1,4,5,4,2,5,3,3,4,3,3,2,4,4,2,3,3,3,2,0,3,3,2,4,6,2,4,3,4,1,1,2,0,2,4,3,1,2,3,4,1
"consent_received.food_security.fruits",2,2,2,2,2,4,3,3,2,2,2,3,3,4,3,3,1,3,3,1,1,2,2,3,1,2,5,2,2,2,2,1,3,2,1,4,3,5,2,2,3,4,1,0,2,2,1,2,3,1,4,2,1,1,1,2,0,2,3,2,1,1,2,3,1
"consent_received.food_security.dairy",1,1,2,2,2,3,1,2,2,2,1,3,2,2,1,3,1,3,2,2,1,2,2,3,1,2,4,2,2,1,2,1,4,1,2,2,2,3,3,2,1,2,1,0,1,1,1,2,3,1,3,3,1,1,1,3,0,1,1,2,1,1,2,1,1
"consent_received.food_security.meat_fish",2,2,2,4,4,4,3,4,3,3,4,2,3,4,4,4,3,4,1,1,3,4,4,4,1,3,4,3,5,4,1,2,4,3,6,3,3,2,4,3,5,3,1,0,3,4,2,4,5,2,4,4,5,1,1,3,0,2,3,2,1,2,5,4,1
"consent_received.food_security.oil_fats",1,1,1,1,1,1,1,4,3,1,3,3,3,1,3,1,1,2,1,1,1,2,1,1,1,3,4,1,1,3,1,1,2,1,1,1,1,1,1,2,1,2,2,0,3,1,2,4,4,1,3,2,2,1,1,3,0,1,1,1,1,2,1,2,1
"consent_received.food_security.sweets",2,2,2,2,1,3,2,3,2,2,1,2,2,2,3,2,2,2,3,2,1,1,1,3,1,2,4,4,2,2,2,3,4,1,2,3,2,4,4,2,2,2,1,0,3,1,2,4,3,1,2,4,2,1,1,3,0,2,3,2,1,2,3,3,1
"consent_received.food_security.spices_condiments",2,2,2,1,1,1,1,5,2,1,3,3,2,3,4,2,1,4,1,2,1,1,2,3,1,2,4,1,1,3,1,1,3,2,1,1,5,1,2,3,1,3,1,0,2,3,2,4,4,1,4,3,3,1,1,4,0,2,3,1,1,2,3,5,1
"consent_received.food_security.market_access",1,1,1,3,2,2,3,1,3,3,3,3,2,3,2,2,2,2,3,2,3,2,2,2,2,2,1,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,1,1,2,2,2,2,2,2,2,2,3,2,2,3,1,2,2,3,1,3,3,2,2
"consent_received.food_security.market_travel_time",2,2,1,4,3,4,2,4,3,3,4,5,3,4,4,5,4,4,3,3,3,3,4,3,2,3,1,4,4,5,3,3,4,3,4,4,3,4,3,4,3,3,2,1,4,4,2,4,5,2,3,3,2,2,2,4,1,3,3,3,1,2,4,4,1
"consent_received.food_security.main_source_food",1,1,1,2,2,2,2,1,2,2,3,2,2,2,3,3,3,2,2,2,2,2,2,3,2,1,1,2,2,3,2,3,2,2,2,2,2,2,2,4,2,3,1,1,2,2,2,2,3,1,1,2,2,2,2,2,1,2,2,2,1,2,2,3,2
"consent_received.food_security.main_source_food_other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"consent_received.food_security.food_hh_sustain",0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"consent_received.food_security.main_income",2,2,2,6,6,8,7,6,4,5,7,7,5,6,7,7,4,7,7,3,6,5,6,7,2,3,5,6,5,8,6,3,6,6,8,7,8,9,6,5,8,6,2,1,4,3,3,7,7,2,8,6,4,2,2,7,1,3,4,4,1,3,7,12,2
